cell_id,cell_type,batch,split
human1_lib3.final_cell_0699,alpha,inDrop1,test
D30-1_56,alpha,celseq2,train
human2_lib3.final_cell_0060,beta,inDrop2,validation
HP1508501T2D_D8,alpha,smartseq2,test
human1_lib3.final_cell_0084,alpha,inDrop1,train
human3_lib2.final_cell_0698,ductal,inDrop3,train
D172444_38,alpha,celseq,train
human3_lib4.final_cell_0371,acinar,inDrop3,train
D101_82,acinar,celseq,test
human3_lib4.final_cell_0164,acinar,inDrop3,train
D31-4_18,alpha,celseq2,test
HP1502401_L11,alpha,smartseq2,validation
human1_lib3.final_cell_0728,quiescent_stellate,inDrop1,test
human3_lib4.final_cell_0085,ductal,inDrop3,train
D29-4_74,alpha,celseq2,train
human4_lib1.final_cell_0450,quiescent_stellate,inDrop4,train
human2_lib2.final_cell_0355,alpha,inDrop2,test
D30-6_88,alpha,celseq2,train
human3_lib1.final_cell_0022,acinar,inDrop3,train
HP1525301T2D_P20,ductal,smartseq2,validation
Sample_1227,alpha,smarter,train
human1_lib2.final_cell_0543,alpha,inDrop1,train
human3_lib4.final_cell_0202,delta,inDrop3,train
human3_lib4.final_cell_0480,macrophage,inDrop3,train
Sample_1104,alpha,smarter,validation
D31-7_67,beta,celseq2,test
human3_lib1.final_cell_0529,ductal,inDrop3,test
D3en1_45,acinar,celseq,train
HP1507101_C2,alpha,smartseq2,test
human3_lib1.final_cell_0855,endothelial,inDrop3,train
human2_lib2.final_cell_0197,ductal,inDrop2,train
human2_lib1.final_cell_0220,alpha,inDrop2,train
human2_lib1.final_cell_0100,beta,inDrop2,train
human1_lib2.final_cell_0382,beta,inDrop1,train
human3_lib1.final_cell_0052,acinar,inDrop3,train
human1_lib2.final_cell_0330,ductal,inDrop1,train
human2_lib2.final_cell_0264,beta,inDrop2,train
human3_lib2.final_cell_0764,alpha,inDrop3,validation
AZ_H6,beta,smartseq2,validation
human2_lib2.final_cell_0559,activated_stellate,inDrop2,train
D17All1_61,delta,celseq,train
human3_lib4.final_cell_0328,alpha,inDrop3,train
human1_lib1.final_cell_0206,beta,inDrop1,test
human3_lib3.final_cell_0207,acinar,inDrop3,test
Sample_1085,alpha,smarter,train
D30-2_2,alpha,celseq2,train
HP1525301T2D_G19,alpha,smartseq2,train
HP1525301T2D_N9,alpha,smartseq2,train
2nd-C4_S9,alpha,fluidigmc1,test
human4_lib3.final_cell_0474,alpha,inDrop4,train
human4_lib1.final_cell_0022,delta,inDrop4,train
human4_lib1.final_cell_0411,beta,inDrop4,train
human1_lib2.final_cell_0287,macrophage,inDrop1,test
HP1504101T2D_D7,alpha,smartseq2,test
human1_lib3.final_cell_0678,alpha,inDrop1,validation
human3_lib4.final_cell_0091,acinar,inDrop3,validation
HP1502401_N10,ductal,smartseq2,train
Sample_757,beta,smarter,train
4th-C8_S14,beta,fluidigmc1,validation
HP1507101_F16,alpha,smartseq2,train
human3_lib4.final_cell_0639,alpha,inDrop3,test
HP1506401_K14,acinar,smartseq2,train
human3_lib3.final_cell_0911,beta,inDrop3,train
human1_lib1.final_cell_0028,acinar,inDrop1,train
human2_lib3.final_cell_0472,alpha,inDrop2,train
human2_lib3.final_cell_0249,delta,inDrop2,train
human2_lib2.final_cell_0273,ductal,inDrop2,train
D31-5_16,acinar,celseq2,train
human3_lib1.final_cell_0117,acinar,inDrop3,train
7th-C82_S64,gamma,fluidigmc1,validation
HP1525301T2D_H9,acinar,smartseq2,test
Sample_294,alpha,smarter,train
Sample_202,beta,smarter,test
HP1504101T2D_G3,gamma,smartseq2,validation
HP1525301T2D_K18,ductal,smartseq2,train
D3en1_60,ductal,celseq,train
HP1508501T2D_D1,alpha,smartseq2,test
Sample_72,beta,smarter,train
4th-C96_S94,alpha,fluidigmc1,train
Sample_480,alpha,smarter,train
human3_lib2.final_cell_0743,ductal,inDrop3,train
human3_lib1.final_cell_0326,acinar,inDrop3,train
human4_lib1.final_cell_0429,beta,inDrop4,train
D172444_55,beta,celseq,train
Sample_670,beta,smarter,train
human2_lib1.final_cell_0401,delta,inDrop2,validation
3rd-C36_S2,beta,fluidigmc1,train
human1_lib2.final_cell_0336,beta,inDrop1,train
6th-C16_S29,beta,fluidigmc1,train
D30-5_40,beta,celseq2,train
Sample_1287,alpha,smarter,train
Sample_883,beta,smarter,train
HP1502401_H19,beta,smartseq2,train
human4_lib1.final_cell_0491,beta,inDrop4,train
human3_lib3.final_cell_0031,acinar,inDrop3,validation
human4_lib3.final_cell_0351,beta,inDrop4,validation
human3_lib1.final_cell_0391,acinar,inDrop3,train
Sample_1453,alpha,smarter,validation
D29-4_75,alpha,celseq2,validation
Sample_1549,gamma,smarter,train
Sample_1054,alpha,smarter,test
1st-C68_S36,alpha,fluidigmc1,train
D31-1_72,ductal,celseq2,train
HP1502401_K12,acinar,smartseq2,train
human4_lib1.final_cell_0383,beta,inDrop4,train
human1_lib2.final_cell_0575,quiescent_stellate,inDrop1,train
Sample_491,alpha,smarter,test
HP1502401_N11,gamma,smartseq2,train
human3_lib1.final_cell_0465,alpha,inDrop3,train
human1_lib1.final_cell_0456,endothelial,inDrop1,test
D29-4_64,delta,celseq2,test
human1_lib2.final_cell_0392,delta,inDrop1,validation
human3_lib2.final_cell_0623,acinar,inDrop3,train
human1_lib2.final_cell_0310,delta,inDrop1,validation
human2_lib1.final_cell_0112,ductal,inDrop2,test
human3_lib1.final_cell_0828,alpha,inDrop3,train
human1_lib1.final_cell_0207,ductal,inDrop1,train
human2_lib2.final_cell_0144,macrophage,inDrop2,train
human4_lib3.final_cell_0490,beta,inDrop4,train
D30-3_64,alpha,celseq2,train
human4_lib3.final_cell_0623,beta,inDrop4,validation
human1_lib2.final_cell_0339,alpha,inDrop1,train
human2_lib1.final_cell_0228,alpha,inDrop2,train
D73_62,beta,celseq,train
human3_lib1.final_cell_0189,beta,inDrop3,train
human3_lib3.final_cell_0271,ductal,inDrop3,train
12th-C57_S218,alpha,fluidigmc1,train
4th-C73_S54,alpha,fluidigmc1,train
human1_lib2.final_cell_0019,endothelial,inDrop1,train
human3_lib2.final_cell_0629,alpha,inDrop3,train
human3_lib2.final_cell_0725,ductal,inDrop3,train
human1_lib3.final_cell_0195,delta,inDrop1,train
human3_lib2.final_cell_0506,acinar,inDrop3,test
D29-8_46,delta,celseq2,train
D17TGFB_4,acinar,celseq,train
human2_lib2.final_cell_0564,alpha,inDrop2,train
human2_lib3.final_cell_0233,ductal,inDrop2,train
D31-7_73,ductal,celseq2,train
human3_lib4.final_cell_0151,alpha,inDrop3,train
human4_lib3.final_cell_0048,alpha,inDrop4,test
human4_lib3.final_cell_0661,beta,inDrop4,train
human4_lib3.final_cell_0227,ductal,inDrop4,validation
human1_lib1.final_cell_0049,delta,inDrop1,train
HP1507101_O7,alpha,smartseq2,train
Sample_582,alpha,smarter,train
D3en4_22,alpha,celseq,train
human2_lib1.final_cell_0469,delta,inDrop2,train
human1_lib1.final_cell_0259,beta,inDrop1,train
HP1508501T2D_E8,alpha,smartseq2,test
D31-7_32,endothelial,celseq2,train
human1_lib3.final_cell_0003,delta,inDrop1,train
Sample_884,beta,smarter,test
human3_lib2.final_cell_0679,alpha,inDrop3,test
human1_lib1.final_cell_0555,ductal,inDrop1,train
human4_lib1.final_cell_0322,beta,inDrop4,validation
human1_lib2.final_cell_0259,beta,inDrop1,test
human3_lib2.final_cell_0535,alpha,inDrop3,train
human3_lib2.final_cell_0319,ductal,inDrop3,train
human1_lib1.final_cell_0316,beta,inDrop1,train
HP1525301T2D_H12,alpha,smartseq2,test
D31-6_6,endothelial,celseq2,train
Sample_1481,alpha,smarter,train
HP1509101_I23,alpha,smartseq2,train
human4_lib1.final_cell_0097,delta,inDrop4,train
HP1526901T2D_J20,delta,smartseq2,train
human1_lib2.final_cell_0412,ductal,inDrop1,train
human2_lib3.final_cell_0447,beta,inDrop2,train
HP1509101_B17,activated_stellate,smartseq2,test
HP1506401_I16,ductal,smartseq2,train
human3_lib4.final_cell_0274,ductal,inDrop3,train
human3_lib3.final_cell_0350,beta,inDrop3,train
human2_lib1.final_cell_0029,ductal,inDrop2,test
human4_lib1.final_cell_0031,ductal,inDrop4,train
Sample_58,beta,smarter,train
human1_lib3.final_cell_0659,beta,inDrop1,train
human4_lib1.final_cell_0361,endothelial,inDrop4,train
Sample_257,alpha,smarter,train
HP1509101_G4,ductal,smartseq2,test
D30-8_8,ductal,celseq2,validation
human2_lib1.final_cell_0018,ductal,inDrop2,train
7th-C57_S16,beta,fluidigmc1,train
Sample_1270,alpha,smarter,train
D3en1_1,acinar,celseq,train
Sample_1593,gamma,smarter,train
D74_26,ductal,celseq,train
human4_lib1.final_cell_0186,delta,inDrop4,train
human3_lib3.final_cell_0845,beta,inDrop3,test
human3_lib4.final_cell_0024,acinar,inDrop3,train
human3_lib3.final_cell_0168,acinar,inDrop3,test
human1_lib3.final_cell_0371,delta,inDrop1,train
Sample_563,alpha,smarter,test
human1_lib3.final_cell_0269,alpha,inDrop1,test
human2_lib1.final_cell_0488,beta,inDrop2,test
human4_lib1.final_cell_0141,delta,inDrop4,train
human3_lib3.final_cell_0754,ductal,inDrop3,train
HP1508501T2D_O8,ductal,smartseq2,train
human3_lib4.final_cell_0292,acinar,inDrop3,train
human3_lib1.final_cell_0574,alpha,inDrop3,train
Sample_1148,alpha,smarter,test
human1_lib3.final_cell_0400,beta,inDrop1,train
human4_lib3.final_cell_0632,beta,inDrop4,train
human4_lib1.final_cell_0033,ductal,inDrop4,test
D28-7_13,alpha,celseq2,test
human4_lib3.final_cell_0134,alpha,inDrop4,train
D2ex_28,acinar,celseq,train
HP1526901T2D_J12,ductal,smartseq2,train
1st-C71_S83,alpha,fluidigmc1,validation
human3_lib3.final_cell_0173,acinar,inDrop3,train
HP1509101_O20,alpha,smartseq2,validation
10th_C90_S116,alpha,fluidigmc1,train
human3_lib4.final_cell_0169,beta,inDrop3,validation
4th-C75_S52,alpha,fluidigmc1,train
HP1508501T2D_F3,beta,smartseq2,train
human3_lib2.final_cell_0384,acinar,inDrop3,train
D31-7_8,alpha,celseq2,train
human1_lib3.final_cell_0392,alpha,inDrop1,train
Sample_435,alpha,smarter,train
human2_lib1.final_cell_0235,alpha,inDrop2,train
HP1502401_H1,alpha,smartseq2,train
human2_lib1.final_cell_0004,delta,inDrop2,train
Sample_1111,alpha,smarter,test
HP1502401_A7,beta,smartseq2,train
human3_lib3.final_cell_0115,alpha,inDrop3,train
human1_lib2.final_cell_0379,gamma,inDrop1,train
Sample_838,beta,smarter,test
D30-6_48,ductal,celseq2,train
human3_lib2.final_cell_0645,alpha,inDrop3,train
human3_lib1.final_cell_0740,endothelial,inDrop3,train
D30-8_79,alpha,celseq2,train
HP1506401_P15,alpha,smartseq2,train
human3_lib4.final_cell_0123,acinar,inDrop3,validation
HP1502401_J11,alpha,smartseq2,train
HP1504901_O21,gamma,smartseq2,validation
human3_lib1.final_cell_0883,beta,inDrop3,train
human4_lib1.final_cell_0301,delta,inDrop4,train
Sample_922,beta,smarter,validation
human2_lib1.final_cell_0480,alpha,inDrop2,train
human2_lib3.final_cell_0162,ductal,inDrop2,train
human3_lib3.final_cell_0646,acinar,inDrop3,test
human3_lib3.final_cell_0594,beta,inDrop3,train
HP1506401_L17,gamma,smartseq2,train
D30-3_36,beta,celseq2,test
human3_lib1.final_cell_0082,acinar,inDrop3,validation
human2_lib1.final_cell_0011,delta,inDrop2,train
D30-1_64,delta,celseq2,train
human1_lib2.final_cell_0129,beta,inDrop1,validation
human4_lib1.final_cell_0455,ductal,inDrop4,test
D28-4_51,acinar,celseq2,train
human3_lib4.final_cell_0472,beta,inDrop3,test
D31-3_27,alpha,celseq2,train
human2_lib1.final_cell_0351,ductal,inDrop2,test
human3_lib2.final_cell_0476,ductal,inDrop3,train
13th_C21_S135,beta,fluidigmc1,train
human2_lib1.final_cell_0223,beta,inDrop2,train
HP1507101_K15,beta,smartseq2,train
HP1525301T2D_D12,gamma,smartseq2,train
D30-2_92,activated_stellate,celseq2,train
human1_lib2.final_cell_0110,beta,inDrop1,train
human3_lib1.final_cell_0060,acinar,inDrop3,test
human1_lib1.final_cell_0251,delta,inDrop1,test
HP1504101T2D_O22,alpha,smartseq2,test
human3_lib1.final_cell_0512,gamma,inDrop3,train
Sample_664,beta,smarter,train
human3_lib2.final_cell_0682,alpha,inDrop3,validation
human4_lib1.final_cell_0577,beta,inDrop4,train
D31-4_29,alpha,celseq2,validation
Sample_1291,alpha,smarter,train
human4_lib1.final_cell_0367,activated_stellate,inDrop4,train
D29-1_33,delta,celseq2,train
D29-7_14,beta,celseq2,train
human3_lib4.final_cell_0724,ductal,inDrop3,test
D31-1_88,acinar,celseq2,train
human3_lib3.final_cell_0672,alpha,inDrop3,train
human1_lib2.final_cell_0242,beta,inDrop1,test
human2_lib3.final_cell_0195,beta,inDrop2,test
human4_lib3.final_cell_0333,alpha,inDrop4,train
D3ex_12,ductal,celseq,train
5th-C10_S92,acinar,fluidigmc1,train
D101_81,alpha,celseq,validation
HP1507101_C20,alpha,smartseq2,train
human1_lib1.final_cell_0154,delta,inDrop1,train
5th-C58_S93,acinar,fluidigmc1,validation
human3_lib2.final_cell_0287,beta,inDrop3,train
D30-4_93,ductal,celseq2,train
D28-6_14,acinar,celseq2,train
human3_lib1.final_cell_0499,activated_stellate,inDrop3,train
D31-3_35,alpha,celseq2,train
human1_lib1.final_cell_0256,gamma,inDrop1,test
human2_lib1.final_cell_0439,gamma,inDrop2,test
D72_23,ductal,celseq,train
human3_lib1.final_cell_0428,alpha,inDrop3,train
human3_lib1.final_cell_0440,acinar,inDrop3,train
human3_lib4.final_cell_0595,beta,inDrop3,train
human3_lib3.final_cell_0649,activated_stellate,inDrop3,train
D30-3_11,alpha,celseq2,train
human4_lib1.final_cell_0128,activated_stellate,inDrop4,train
D31-6_82,ductal,celseq2,test
Sample_1305,alpha,smarter,test
human2_lib3.final_cell_0473,ductal,inDrop2,train
human4_lib3.final_cell_0328,ductal,inDrop4,train
human1_lib2.final_cell_0318,beta,inDrop1,train
D30-6_87,alpha,celseq2,validation
human3_lib3.final_cell_0398,alpha,inDrop3,train
HP1504901_I17,endothelial,smartseq2,validation
human4_lib3.final_cell_0488,alpha,inDrop4,train
human1_lib1.final_cell_0548,endothelial,inDrop1,train
human3_lib3.final_cell_0751,alpha,inDrop3,train
human1_lib1.final_cell_0520,endothelial,inDrop1,train
human1_lib3.final_cell_0489,alpha,inDrop1,test
HP1525301T2D_D8,ductal,smartseq2,train
human3_lib4.final_cell_0500,alpha,inDrop3,train
human1_lib3.final_cell_0721,t_cell,inDrop1,train
human2_lib3.final_cell_0042,alpha,inDrop2,train
D72_76,ductal,celseq,train
human4_lib1.final_cell_0017,beta,inDrop4,train
5th-C25_S108,beta,fluidigmc1,test
12th-C64_S163,beta,fluidigmc1,validation
D31-6_24,acinar,celseq2,train
human3_lib1.final_cell_0530,acinar,inDrop3,train
human1_lib2.final_cell_0359,beta,inDrop1,train
HP1508501T2D_H3,alpha,smartseq2,validation
human1_lib1.final_cell_0430,endothelial,inDrop1,train
Sample_1059,alpha,smarter,train
HP1526901T2D_H6,alpha,smartseq2,train
Sample_38,beta,smarter,train
human1_lib1.final_cell_0198,alpha,inDrop1,test
HP1525301T2D_K10,activated_stellate,smartseq2,train
HP1504101T2D_M18,alpha,smartseq2,test
human3_lib4.final_cell_0242,acinar,inDrop3,train
human1_lib3.final_cell_0356,alpha,inDrop1,validation
8th-C18_S110,beta,fluidigmc1,train
AZ_F2,beta,smartseq2,train
D28-6_77,alpha,celseq2,train
human3_lib2.final_cell_0216,alpha,inDrop3,test
human1_lib2.final_cell_0064,beta,inDrop1,train
12th-C63_S219,alpha,fluidigmc1,train
HP1525301T2D_F12,ductal,smartseq2,train
human4_lib3.final_cell_0327,alpha,inDrop4,test
human3_lib2.final_cell_0659,endothelial,inDrop3,train
human2_lib1.final_cell_0371,alpha,inDrop2,train
D31-6_75,acinar,celseq2,validation
HP1502401_E11,alpha,smartseq2,train
human3_lib4.final_cell_0875,beta,inDrop3,train
D74_55,alpha,celseq,test
human3_lib4.final_cell_0560,beta,inDrop3,train
human1_lib3.final_cell_0560,acinar,inDrop1,validation
human3_lib3.final_cell_0645,alpha,inDrop3,train
human3_lib1.final_cell_0817,beta,inDrop3,test
human3_lib4.final_cell_0296,delta,inDrop3,test
D28-2_74,acinar,celseq2,validation
human1_lib2.final_cell_0182,ductal,inDrop1,validation
D71_32,delta,celseq,train
HP1525301T2D_C4,ductal,smartseq2,train
human4_lib1.final_cell_0143,alpha,inDrop4,train
D31-4_44,beta,celseq2,train
HP1507101_O10,alpha,smartseq2,train
human3_lib3.final_cell_0702,activated_stellate,inDrop3,validation
D29-3_44,gamma,celseq2,train
human3_lib2.final_cell_0154,alpha,inDrop3,train
D30-6_15,beta,celseq2,test
human3_lib4.final_cell_0484,alpha,inDrop3,train
human3_lib1.final_cell_0491,delta,inDrop3,train
human4_lib3.final_cell_0447,beta,inDrop4,train
D31-8_6,alpha,celseq2,train
human1_lib3.final_cell_0336,beta,inDrop1,train
HP1504101T2D_O3,alpha,smartseq2,train
human1_lib3.final_cell_0012,beta,inDrop1,validation
Sample_964,alpha,smarter,train
Sample_55,beta,smarter,train
human3_lib1.final_cell_0399,alpha,inDrop3,train
human4_lib1.final_cell_0034,beta,inDrop4,validation
Sample_130,beta,smarter,train
human1_lib2.final_cell_0347,delta,inDrop1,train
human2_lib3.final_cell_0096,beta,inDrop2,validation
HP1504901_N19,alpha,smartseq2,train
HP1525301T2D_L3,ductal,smartseq2,train
human3_lib4.final_cell_0104,delta,inDrop3,train
human1_lib1.final_cell_0134,acinar,inDrop1,train
HP1504101T2D_G12,alpha,smartseq2,train
Sample_1102,alpha,smarter,train
HP1504101T2D_B4,gamma,smartseq2,train
Sample_689,beta,smarter,train
D10631_66,acinar,celseq,train
human3_lib2.final_cell_0344,activated_stellate,inDrop3,test
D29-6_22,delta,celseq2,train
human3_lib2.final_cell_0475,delta,inDrop3,train
HP1506401_M11,ductal,smartseq2,train
human2_lib3.final_cell_0251,quiescent_stellate,inDrop2,test
D28-6_38,acinar,celseq2,train
D31-5_57,acinar,celseq2,test
D30-8_15,activated_stellate,celseq2,train
human1_lib2.final_cell_0131,alpha,inDrop1,train
D102_1,ductal,celseq,train
human2_lib3.final_cell_0363,gamma,inDrop2,train
D71_28,ductal,celseq,train
human3_lib4.final_cell_0119,activated_stellate,inDrop3,validation
D30-6_33,alpha,celseq2,train
D28-2_61,acinar,celseq2,train
2nd-C83_S71,alpha,fluidigmc1,train
HP1525301T2D_C11,ductal,smartseq2,train
human1_lib3.final_cell_0237,beta,inDrop1,train
human3_lib3.final_cell_0378,alpha,inDrop3,test
Sample_85,beta,smarter,train
D3en2_21,acinar,celseq,train
D29-3_57,delta,celseq2,train
D10631_24,ductal,celseq,test
D29-1_3,delta,celseq2,validation
Sample_1382,alpha,smarter,train
HP1508501T2D_J18,delta,smartseq2,train
HP1526901T2D_F12,gamma,smartseq2,train
D31-5_25,alpha,celseq2,train
D73_45,beta,celseq,train
HP1526901T2D_O3,gamma,smartseq2,train
human4_lib1.final_cell_0475,beta,inDrop4,train
human3_lib2.final_cell_0168,acinar,inDrop3,test
human2_lib2.final_cell_0445,alpha,inDrop2,train
D3en2_32,acinar,celseq,validation
human3_lib1.final_cell_0778,acinar,inDrop3,train
human3_lib1.final_cell_0405,alpha,inDrop3,train
Sample_1321,alpha,smarter,train
human2_lib3.final_cell_0538,alpha,inDrop2,train
D31-1_49,alpha,celseq2,test
Sample_914,beta,smarter,train
human1_lib1.final_cell_0217,ductal,inDrop1,train
human1_lib1.final_cell_0261,ductal,inDrop1,train
human1_lib3.final_cell_0101,delta,inDrop1,train
human3_lib3.final_cell_0760,alpha,inDrop3,train
D30-3_47,alpha,celseq2,train
human3_lib4.final_cell_0863,delta,inDrop3,validation
human1_lib3.final_cell_0736,endothelial,inDrop1,train
Sample_1414,alpha,smarter,validation
human3_lib1.final_cell_0028,delta,inDrop3,validation
HP1507101_B10,alpha,smartseq2,train
Sample_23,beta,smarter,train
human2_lib3.final_cell_0439,gamma,inDrop2,train
human3_lib4.final_cell_0145,ductal,inDrop3,train
HP1507101_G9,alpha,smartseq2,validation
human3_lib4.final_cell_0872,delta,inDrop3,train
human1_lib3.final_cell_0563,beta,inDrop1,train
human3_lib4.final_cell_0670,ductal,inDrop3,train
human1_lib2.final_cell_0577,endothelial,inDrop1,train
Sample_209,alpha,smarter,train
human2_lib3.final_cell_0477,gamma,inDrop2,train
human3_lib3.final_cell_0505,alpha,inDrop3,test
D3en2_42,acinar,celseq,train
D29-5_49,alpha,celseq2,train
D29-8_23,beta,celseq2,train
D73_73,ductal,celseq,train
human1_lib2.final_cell_0601,quiescent_stellate,inDrop1,test
HP1502401_D24,alpha,smartseq2,train
human2_lib2.final_cell_0354,alpha,inDrop2,test
12th-C94_S180,activated_stellate,fluidigmc1,train
human4_lib3.final_cell_0411,alpha,inDrop4,validation
D30-2_32,beta,celseq2,train
human3_lib3.final_cell_0707,alpha,inDrop3,train
HP1504101T2D_N21,delta,smartseq2,train
HP1504901_J10,ductal,smartseq2,test
human3_lib2.final_cell_0125,acinar,inDrop3,train
human3_lib4.final_cell_0013,acinar,inDrop3,train
Sample_567,alpha,smarter,train
D29-4_2,alpha,celseq2,train
human1_lib2.final_cell_0183,beta,inDrop1,train
D72_78,ductal,celseq,train
human3_lib2.final_cell_0090,acinar,inDrop3,train
D3en1_87,ductal,celseq,validation
HP1509101_O4,delta,smartseq2,train
Sample_1084,alpha,smarter,train
HP1507101_B19,alpha,smartseq2,train
human3_lib2.final_cell_0395,alpha,inDrop3,validation
D28-1_77,ductal,celseq2,validation
Sample_1395,alpha,smarter,validation
7th-C15_S23,delta,fluidigmc1,test
Sample_267,alpha,smarter,train
HP1504901_F16,endothelial,smartseq2,test
human3_lib2.final_cell_0098,acinar,inDrop3,test
human3_lib3.final_cell_0824,alpha,inDrop3,train
HP1525301T2D_K8,acinar,smartseq2,train
human3_lib4.final_cell_0687,alpha,inDrop3,train
D31-1_74,beta,celseq2,train
human3_lib2.final_cell_0142,alpha,inDrop3,validation
D31-3_15,activated_stellate,celseq2,train
human1_lib3.final_cell_0317,beta,inDrop1,test
D29-2_88,ductal,celseq2,validation
human1_lib1.final_cell_0267,beta,inDrop1,validation
HP1508501T2D_I21,ductal,smartseq2,train
D28-2_91,gamma,celseq2,validation
human2_lib3.final_cell_0243,delta,inDrop2,train
Sample_1578,gamma,smarter,train
HP1506401_M24,gamma,smartseq2,train
D101_48,activated_stellate,celseq,test
D29-6_94,alpha,celseq2,validation
human2_lib2.final_cell_0258,beta,inDrop2,train
Sample_350,alpha,smarter,validation
Sample_432,alpha,smarter,validation
human4_lib3.final_cell_0344,beta,inDrop4,train
human3_lib3.final_cell_0532,delta,inDrop3,train
human1_lib2.final_cell_0271,beta,inDrop1,test
Sample_1409,alpha,smarter,test
HP1502401_G23,ductal,smartseq2,test
human1_lib3.final_cell_0299,alpha,inDrop1,train
human1_lib2.final_cell_0423,alpha,inDrop1,test
D3en3_39,acinar,celseq,train
human2_lib1.final_cell_0537,alpha,inDrop2,test
human3_lib2.final_cell_0734,beta,inDrop3,train
human2_lib2.final_cell_0412,alpha,inDrop2,validation
human4_lib1.final_cell_0070,activated_stellate,inDrop4,train
D17All2_36,beta,celseq,test
D31-1_92,alpha,celseq2,train
human2_lib3.final_cell_0504,alpha,inDrop2,train
D30-7_20,acinar,celseq2,test
human4_lib3.final_cell_0365,beta,inDrop4,train
human3_lib2.final_cell_0058,acinar,inDrop3,train
Sample_119,beta,smarter,train
Sample_1595,gamma,smarter,train
Sample_849,beta,smarter,train
human3_lib4.final_cell_0457,quiescent_stellate,inDrop3,train
D30-4_85,alpha,celseq2,train
human2_lib3.final_cell_0191,ductal,inDrop2,test
human1_lib3.final_cell_0370,beta,inDrop1,test
D2ex_86,acinar,celseq,train
D72_55,beta,celseq,test
Sample_416,alpha,smarter,train
human2_lib3.final_cell_0169,ductal,inDrop2,validation
D1713_56,ductal,celseq,train
human1_lib1.final_cell_0141,beta,inDrop1,train
human3_lib3.final_cell_0800,delta,inDrop3,train
human4_lib1.final_cell_0157,ductal,inDrop4,train
human3_lib4.final_cell_0002,acinar,inDrop3,train
HP1507101_H12,alpha,smartseq2,train
human3_lib4.final_cell_0331,alpha,inDrop3,train
9th-C79_S57,gamma,fluidigmc1,test
human4_lib3.final_cell_0545,ductal,inDrop4,train
D30-3_12,ductal,celseq2,train
human3_lib1.final_cell_0623,delta,inDrop3,train
human3_lib2.final_cell_0562,beta,inDrop3,validation
human4_lib1.final_cell_0116,ductal,inDrop4,test
human3_lib4.final_cell_0044,acinar,inDrop3,train
human2_lib2.final_cell_0040,beta,inDrop2,train
human3_lib2.final_cell_0681,activated_stellate,inDrop3,validation
HP1507101_O9,beta,smartseq2,train
human3_lib1.final_cell_0410,alpha,inDrop3,train
human3_lib3.final_cell_0691,alpha,inDrop3,validation
human3_lib2.final_cell_0424,alpha,inDrop3,train
12th-C3_S181,beta,fluidigmc1,train
Sample_455,alpha,smarter,train
human1_lib2.final_cell_0229,beta,inDrop1,validation
HP1525301T2D_F2,alpha,smartseq2,test
human3_lib3.final_cell_0570,acinar,inDrop3,train
human3_lib2.final_cell_0619,alpha,inDrop3,train
human4_lib3.final_cell_0640,alpha,inDrop4,train
human3_lib2.final_cell_0781,alpha,inDrop3,validation
HP1508501T2D_B14,acinar,smartseq2,train
Sample_148,beta,smarter,train
human2_lib3.final_cell_0088,delta,inDrop2,train
D29-1_83,delta,celseq2,train
human1_lib2.final_cell_0147,beta,inDrop1,train
Sample_543,alpha,smarter,train
2nd-C69_S42,alpha,fluidigmc1,train
human4_lib1.final_cell_0433,beta,inDrop4,train
Sample_1174,alpha,smarter,test
Sample_1283,alpha,smarter,train
human3_lib4.final_cell_0183,delta,inDrop3,test
D17TGFB_14,acinar,celseq,train
human1_lib1.final_cell_0031,delta,inDrop1,validation
human3_lib3.final_cell_0454,ductal,inDrop3,validation
Sample_1490,alpha,smarter,validation
human3_lib2.final_cell_0674,acinar,inDrop3,test
human1_lib2.final_cell_0451,schwann,inDrop1,test
D172444_15,ductal,celseq,train
Sample_292,alpha,smarter,train
Sample_647,gamma,smarter,train
human3_lib4.final_cell_0010,acinar,inDrop3,train
human4_lib1.final_cell_0176,delta,inDrop4,test
human3_lib3.final_cell_0268,acinar,inDrop3,test
human3_lib2.final_cell_0564,alpha,inDrop3,train
human3_lib3.final_cell_0884,ductal,inDrop3,train
human3_lib2.final_cell_0010,acinar,inDrop3,test
human2_lib1.final_cell_0103,alpha,inDrop2,validation
human4_lib1.final_cell_0417,beta,inDrop4,train
human1_lib3.final_cell_0485,beta,inDrop1,test
human2_lib1.final_cell_0244,endothelial,inDrop2,train
HP1506401_K23,gamma,smartseq2,test
human3_lib2.final_cell_0650,activated_stellate,inDrop3,test
human4_lib3.final_cell_0681,alpha,inDrop4,train
D31-2_73,ductal,celseq2,validation
human2_lib1.final_cell_0380,ductal,inDrop2,train
human4_lib1.final_cell_0415,beta,inDrop4,train
human2_lib2.final_cell_0340,alpha,inDrop2,train
HP1509101_M16,ductal,smartseq2,train
human3_lib2.final_cell_0138,acinar,inDrop3,train
D29-1_38,alpha,celseq2,train
human3_lib1.final_cell_0226,beta,inDrop3,train
D29-7_58,beta,celseq2,train
human2_lib3.final_cell_0526,gamma,inDrop2,test
D29-7_51,alpha,celseq2,train
human3_lib2.final_cell_0007,acinar,inDrop3,test
human1_lib1.final_cell_0038,beta,inDrop1,test
D31-1_93,ductal,celseq2,validation
human1_lib3.final_cell_0001,acinar,inDrop1,test
D30-5_4,activated_stellate,celseq2,train
